"(1 pt) According to the ABC for Isaiah, the superscription in Isaiah 1:1 gives the identity of whom?",the seer
"(1 pt) According to the ABC for Isaiah, what is the mode of revelation in the book of Isaiah?",vision
"(2 pts) According to the ABC for Isaiah, what is the main topic of the book?","Judah, Jerusalem"
"(1 pt) According to the ABC for Isaiah, Isaiah's commission in ""the year that King Uzziah died"" occurred sometime in what year?",740 B.C.
"(1 pt) According to the ABC for Isaiah, the final form of the book may be assigned to the first half of whose reign?",Manasseh's
"(1 pt) According to the ABC for Isaiah, what did Isaiah's commission as prophet coincide with?",Assyria's rise to sovereignty
"(3 pts) According to the ABC for Isaiah, what did Assyria's rise to sovereignty bring?","disorder, upheavals, destruction"
"(2 pts) According to the ABC for Isaiah, Assyria's rise to sovereignty forced the mixing of what two things?","peoples, their cultural practices"
"(2 pts) According to the ABC for Isaiah, for whom was the lack of faith in the God of their ancestors especially problematic?","Israel, Judah"
"(2 pts) According to the ABC for Isaiah, Isaiah taught faith by revealing God's plan for whom and where?","Israel, Zion-Jerusalem"
"(2 pts) According to the ABC for Isaiah, how are Israel and Zion-Jerusalem each described?","His (God's) elected people, His (God's) elect city"
"(2 pts) According to the ABC for Isaiah, the book of Isaiah points to God's sovereignty as Creator and Lord of history against mounting doubts in what?","the Lord's power, (His) will to save His people"
"(3 pts) According to the ABC for Isaiah, the book of Isaiah points to God's sovereignty as Creator and Lord of what?","history, nations, kings"
"(2 pts) According to the ABC for Isaiah, God is the Other and is completely different from what?","any human, (any) other part of His creation"
"(1 pt) According to the ABC for Isaiah, what was Israel's God intimately connected with?",Zion
"(4 pts) According to the ABC for Isaiah, Zion is God's what?","dwelling, resting place, throne, place of worship"
"(1 pt) According to the ABC for Isaiah, what is the theological foundation for seeing God as the God of the nations?","the ""everlasting covenant"" (between the Creator and human beings)"
"(2 pts) According to the ABC for Isaiah, the ""everlasting covenant"" is between what parties?","the Creator, human beings"
"(1 pt) According to the ABC for Isaiah, what did the ""everlasting covenant"" between the Creator and human beings establish?",the fundamental order of the world of creation
"(1 pt) According to the ABC for Isaiah, the hope proclaimed by Isaiah was based on what claim of God?",that there is no other god besides Him
"(1 pt) According to the ABC for Isaiah, God's plan would not fail in spite of what?",the sins of His people
"(1 pt) According to the ABC for Isaiah, God's plan would not fail because He would preserve what for Himself?",a remnant
"(2 pts) According to the ABC for Isaiah, what kind of prophecy did Isaiah assign a distinct value to as evidence of the power of the word of God?","preserved, written"
"(1 pt) According to the ABC for Isaiah, what was preserved, written prophecy an evidence of?",the power of the word of the Lord
"(2 pts) According to the ABC for Isaiah, the preserved record (of the word of the Lord) could be what?","seen, verified by its historical fulfillment"
